iter	Passed	Remaining
1026	6384	615269
1027	6390	615262
1028	6396	615249
1029	6402	615209
1030	6408	615184
1031	6414	615180
1032	6421	615204
1033	6427	615202
1034	6434	615238
1035	6440	615271
1036	6447	615255
1037	6453	615239
1038	6459	615249
1039	6465	615261
1040	6472	615269
1041	6478	615299
1042	6485	615296
1043	6492	615398
1044	6498	615346
1045	6504	615354
1046	6510	615336
1047	6517	615355
1048	6523	615313
1049	6529	615306
1050	6535	615293
1051	6541	615311
1052	6548	615312
1053	6554	615287
1054	6560	615289
1055	6566	615266
1056	6572	615260
1057	6579	615267
1058	6585	615249
1059	6591	615247
1060	6597	615252
1061	6603	615223
1062	6610	615221
1063	6616	615202
1064	6622	615186
1065	6628	615181
1066	6634	615178
1067	6641	615193
1068	6647	615195
1069	6653	615199
1070	6659	615179
1071	6666	615217
1072	6672	615183
1073	6678	615197
1074	6684	615160
1075	6690	615112
1076	6696	615110
1077	6703	615120
1078	6709	615120
1079	6715	615119
1080	6721	615094
1081	6728	615131
1082	6734	615111
1083	6740	615106
1084	6747	615113
1085	6753	615086
1086	6759	615081
1087	6765	615080
1088	6772	615102
1089	6778	615100
1090	6784	615083
1091	6790	615069
1092	6797	615099
1093	6803	615084
1094	6809	615049
1095	6815	615017
1096	6821	614992
1097	6827	614964
1098	6833	614968
1099	6840	614988
1100	6846	614977
1101	6852	614985
1102	6859	615017
1103	6865	614980
1104	6871	614973
1105	6877	614965
1106	6884	614980
1107	6890	614967
1108	6896	614937
1109	6902	614943
1110	6908	614921
1111	6914	614893
1112	6920	614886
1113	6927	614891
1114	6933	614871
1115	6939	614895
1116	6946	614898
1117	6952	614913
1118	6958	614931
1119	6965	614945
1120	6971	614951
1121	6977	614933
1122	6984	614933
1123	6990	614936
1124	6996	614938
1125	7003	614938
1126	7009	614925
1127	7015	614905
1128	7021	614901
1129	7027	614918
1130	7034	614914
1131	7040	614881
1132	7046	614889
1133	7052	614838
1134	7058	614844
1135	7064	614824
1136	7070	614826
1137	7077	614825
1138	7083	614806
1139	7089	614798
1140	7095	614779
1141	7101	614767
1142	7108	614766
1143	7114	614755
1144	7120	614731
1145	7126	614739
1146	7132	614729
1147	7139	614743
1148	7145	614738
1149	7151	614751
1150	7157	614733
1151	7163	614706
1152	7170	614716
1153	7176	614727
1154	7183	614725
1155	7189	614720
1156	7195	614701
1157	7201	614711
1158	7207	614692
1159	7214	614697
1160	7220	614682
1161	7226	614705
1162	7233	614720
1163	7239	614718
1164	7246	614748
1165	7252	614770
1166	7259	614794
1167	7265	614803
1168	7272	614802
1169	7278	614780
1170	7284	614789
1171	7290	614800
1172	7296	614776
1173	7305	615010
1174	7312	615002
1175	7318	614996
1176	7324	614977
1177	7331	614995
1178	7337	614977
1179	7342	614938
1180	7349	614953
1181	7355	614945
1182	7362	614960
1183	7368	614951
1184	7374	614941
1185	7380	614962
1186	7387	614952
1187	7393	614941
1188	7399	614940
1189	7405	614907
1190	7411	614909
1191	7417	614893
1192	7424	614875
1193	7430	614851
1194	7436	614878
1195	7442	614873
1196	7449	614876
1197	7455	614868
1198	7461	614883
1199	7468	614893
1200	7474	614883
1201	7480	614882
1202	7486	614872
1203	7493	614863
1204	7499	614848
1205	7505	614856
1206	7511	614828
1207	7517	614829
1208	7524	614820
1209	7530	614830
1210	7536	614806
1211	7542	614779
1212	7548	614771
1213	7554	614757
1214	7560	614728
1215	7567	614750
1216	7573	614763
1217	7579	614731
1218	7585	614725
1219	7592	614735
1220	7598	614726
1221	7604	614714
1222	7611	614720
1223	7617	614705
1224	7623	614689
1225	7629	614688
1226	7636	614716
1227	7642	614697
1228	7648	614687
1229	7654	614670
1230	7661	614682
1231	7667	614680
1232	7673	614689
1233	7679	614666
1234	7685	614653
1235	7692	614647
1236	7698	614630
1237	7704	614646
1238	7710	614634
1239	7717	614631
1240	7723	614632
1241	7729	614633
1242	7736	614652
1243	7742	614643
1244	7748	614633
1245	7755	614639
1246	7761	614635
1247	7767	614647
1248	7774	614656
1249	7780	614668
1250	7786	614664
1251	7793	614670
1252	7799	614645
1253	7805	614636
1254	7811	614615
1255	7818	614636
1256	7824	614622
1257	7830	614651
1258	7837	614652
1259	7843	614639
1260	7849	614637
1261	7855	614613
1262	7861	614611
1263	7867	614581
1264	7874	614580
1265	7879	614547
1266	7886	614558
1267	7892	614548
1268	7898	614552
1269	7905	614559
1270	7911	614550
1271	7917	614549
1272	7923	614540
1273	7930	614538
1274	7936	614539
1275	7942	614524
1276	7948	614512
1277	7954	614490
1278	7961	614486
1279	7967	614509
1280	7974	614527
1281	7980	614491
1282	7986	614487
1283	7992	614476
1284	7998	614454
1285	8004	614446
1286	8010	614412
1287	8016	614407
1288	8022	614388
1289	8029	614375
1290	8035	614386
1291	8041	614382
1292	8047	614362
1293	8053	614356
1294	8060	614365
1295	8066	614356
1296	8072	614335
1297	8078	614323
1298	8085	614317
1299	8091	614333
1300	8097	614344
1301	8103	614316
1302	8110	614341
1303	8116	614336
1304	8123	614365
1305	8129	614365
1306	8136	614372
1307	8142	614368
1308	8148	614341
1309	8154	614355
1310	8160	614328
1311	8167	614334
1312	8177	614620
1313	8183	614614
1314	8189	614614
1315	8196	614611
1316	8202	614586
1317	8208	614591
1318	8215	614606
1319	8221	614591
1320	8227	614585
1321	8233	614583
1322	8239	614549
1323	8245	614539
